yymmddhhmm	lat	lon	wind	gust
08/11/2020:12:00	8.8	133.8	30	45
08/11/2020:15:00	9.2	133.5	30	45
08/11/2020:18:00	10.2	132.7	30	45
08/11/2020:21:00	10.8	131.7	30	45
09/11/2020:0:00	11.5	131	30	45
09/11/2020:3:00	11.6	130.5	30	45
09/11/2020:6:00	11.6	130.3	35	50
09/11/2020:9:00	11.8	130.5	35	50
09/11/2020:12:00	12	130.5	35	50
09/11/2020:15:00	12.1	130.2	35	50
09/11/2020:18:00	12.4	130	35	50
09/11/2020:21:00	12.5	129.8	35	50
10/11/2020:0:00	13.4	128.9	40	60
10/11/2020:3:00	13.5	128.6	40	60
10/11/2020:6:00	14	128.2	45	65
10/11/2020:9:00	14.3	127.8	45	65
10/11/2020:12:00	14.4	127.1	50	70
10/11/2020:15:00	14.4	126.1	50	70
10/11/2020:18:00	14.4	125.8	55	80
10/11/2020:21:00	14.6	125.1	60	85
11/11/2020:0:00	14.6	124.6	65	95
11/11/2020:3:00	14.6	124.1	70	100
11/11/2020:6:00	14.4	123.5	70	100
11/11/2020:9:00	14.4	123.3	70	100
11/11/2020:12:00	14.7	122.9	70	100
11/11/2020:18:00	15.1	121.3	70	100
11/11/2020:21:00	15.5	120.5	60	85
12/11/2020:0:00	15.2	119.7	55	80
12/11/2020:3:00	15.3	118.9	55	80
12/11/2020:6:00	15.2	118.5	60	85
12/11/2020:9:00	15.2	117.9	60	85
12/11/2020:12:00	15.1	117.4	60	85
12/11/2020:15:00	15.2	116.8	60	85
12/11/2020:18:00	15.1	116.3	60	85
12/11/2020:21:00	15.2	116	60	85
13/11/2020:0:00	15.3	115.9	60	85
13/11/2020:3:00	15.5	115.2	60	85
13/11/2020:6:00	15.4	114.4	60	85
13/11/2020:9:00	15.5	114	65	95
13/11/2020:12:00	15.5	113.4	75	105
13/11/2020:15:00	15.6	112.9	75	105
13/11/2020:18:00	15.6	112.4	80	115
13/11/2020:21:00	15.7	111.9	85	120
14/11/2020:0:00	15.7	111.4	85	120
14/11/2020:3:00	15.8	110.8	85	120
14/11/2020:6:00	15.9	110.3	85	120
14/11/2020:9:00	16.1	109.9	85	120
14/11/2020:12:00	16.4	109.4	85	120
14/11/2020:15:00	16.5	108.9	80	115
14/11/2020:18:00	16.6	108.7	80	115
14/11/2020:21:00	16.9	108.3	70	100
15/11/2020:0:00	17.2	108	65	95
15/11/2020:3:00	17.3	107.3	60	85
15/11/2020:6:00	17.9	106.6	50	70
15/11/2020:9:00	18	106.2	40	60
15/11/2020:12:00	18.1	106.1	35	50
15/11/2020:15:00	18	105	0	0
