YYYYMMDDHH,LAT,LON,VMAX,STORMNAME
202010281200,16.600000381469727,139.5,34.75904,GONI
202010281800,16.600000381469727,138.6999969482422,34.75904,GONI
202010290000,16.600000381469727,137.5,43.4488,GONI
202010290600,16.600000381469727,137.5,43.4488,GONI
202010291200,16.600000381469727,137.5,43.4488,GONI
202010291800,16.5,136.60000610351562,52.13856,GONI
202010300000,16.799999237060547,135.8000030517578,78.20784,GONI
202010300600,16.700000762939453,134.60000610351562,78.20784,GONI
202010301200,16.299999237060547,133.39999389648438,78.20784,GONI
202010301800,16.299999237060547,132.6999969482422,78.20784,GONI
202010310000,16.299999237060547,131.60000610351562,78.20784,GONI
202010310600,16.100000381469727,130.89999389648438,78.20784,GONI
202010311200,15.800000190734863,129.89999389648438,78.20784,GONI
202010311800,15.300000190734863,128.8000030517578,78.20784,GONI
202011010000,14.699999809265137,127.5999984741211,78.20784,GONI
202011010600,14.199999809265137,126.5,78.20784,GONI
202011011200,13.699999809265137,125.0999984741211,78.20784,GONI
202011011800,13.5,123.5999984741211,78.20784,GONI
202011020000,13.5,123.5999984741211,78.20784,GONI
202011020600,13.600000381469727,122.5,78.20784,GONI
202011021200,14.100000381469727,121.19999694824219,60.82832,GONI
202011021800,14.699999809265137,119.5,52.13856,GONI
202011030000,14.899999618530273,118.5,43.4488,GONI
202011030600,15.300000190734863,118.0,34.75904,GONI
202011031200,15.100000381469727,116.80000305175781,34.75904,GONI
202011031800,15.100000381469727,115.80000305175781,34.75904,GONI
202011040000,14.800000190734863,115.4000015258789,34.75904,GONI
202011040600,14.699999809265137,115.0999984741211,34.75904,GONI
202011041200,14.699999809265137,114.5999984741211,34.75904,GONI
202011041800,14.600000381469727,114.19999694824219,34.75904,GONI
202011050000,14.399999618530273,113.4000015258789,34.75904,GONI
202011050600,14.399999618530273,113.30000305175781,34.75904,GONI
202011051200,14.300000190734863,112.5999984741211,43.4488,GONI
202011051800,14.199999809265137,112.5,43.4488,GONI
202011060000,14.0,111.9000015258789,43.4488,GONI
202011060600,14.0,111.4000015258789,34.75904,GONI
202011061200,14.0,111.19999694824219,34.75904,GONI
202011061800,14.0,110.30000305175781,34.75904,GONI
